"distance","rpm"
-383139,1
-346157,1
-187931,1
-61491,2
22399,6
-318822,1
130405,4
-99558,1
-207602,2
-207597,2
5286,2
28648,1
-157457,1
29419,1
-38298,1
-13915,1
10469,2
-287879,1
20235,1
580629,1
667717,2
1083001,1
-796783,1
4330,1
-10448,1
1780,1
20192,2
32243,1
4991,1
2394,2
36845,2
327252,4
327266,4
594387,2
-269932,1
-97508,1
1283,2
-91997,1
15720,2
-66454,12
-4301,1
-79035,1
-5028,2
6582,1
71079,1
-76768,1
11650,2
39328,2
-162533,1
115400,1
226041,2
-95402,1
143767,3
95564,1
163348,2
47809,1
-146198,1
-101434,2
-73681,2
10763,1
-510331,2
-425527,1
-391247,1
-323257,1
101419,1
-27257,1
-608,1
-22488,1
7233,2
-649,2
-23835,1
-261694,2
-154737,1
247984,1
329492,1
-159406,2
-55792,1
-34567,1
-4409,1
27494,1
18699,1
-31228,1
63137,3
37965,3
25350,1
279580,1
-237169,1
-91879,2
-91825,2
-45137,3
-249763,2
-75541,1
-320213,1
950158,1
-951006,1
-883851,1
-759154,2
-728356,2
-114097,2
86013,1
164855,1
254387,2
254399,2
944298,1
-93807,1
365795,2
365820,2
425871,1
447928,1
-278660,1
50220,1
47144,1
150500,1
279206,1
454346,1
541962,1
32872,1
36872,1
129890,2
172866,3
-158382,1
29095,1
117901,1
555324,2
-474346,1
-379136,1
-364114,2
-109901,1
-42049,1
-1772,3
-7497,1
3146,1
-12045,5
-11355,6
-6742,12
-6697,12
-791,14
26,11
315,17
403,19
1035,27
1055,27
1455,27
1803,27
2077,24
3626,12
4395,10
27204,1
22828,1
-5732,1
1863,2
88072,1
115794,1
-13542,1
45481,2
-17649,2
-6115,1
53232,1
-40813,1
10840,1
99224,1
-22654,1
-59545,1
17210,1
9213,1
25484,1
22372,2
9398,1
14305,1
-5036,2
43846,2
34207,1
-32641,1
72445,1
-61395,2
-14295,1
17614,1
51919,2
225622,1
408410,1
577171,2
-580616,1
-574799,2
-541227,1
-87137,1
-69436,1
21634,1
593,1
32028,1
-64982,1
14266,2
126209,1
23102,2
51022,1
-89164,1
-27752,1
1119,2
-2541,1
-19817,1
-9593,1
272679,1
-228927,1
-67978,1
593887,1
744608,2
767512,2
1070553,2
1362846,1
1737037,1
-1621625,1
-638357,1
-152254,17
-151525,9
-26568,1
-122495,1
-87321,2
10713,1
-1934,1
-10590,1
1710,1
27500,1
-17071,1
