"","lfc","drug"
"X582",0.471717327827462,"Taze"
"X674",0.374200821904023,"Taze"
"X782",0.621293676639586,"Taze"
"X651",0.358259276263629,"Taze"
"X898",0.943221766069113,"Taze"
"X710",0.580651690603794,"Taze"
"X489",0.0660785318084714,"Taze"
"X504",0.580651690603794,"Taze"
"X763",1.06607850841775,"Taze"
"X788",0.580651690603794,"Taze"
"X816",1.84368607733516,"Taze"
"X902",1.42864858260452,"Taze"
"X704",1.22219770233953,"Taze"
"X490",0.329112927847476,"Taze"
"X741",0.981189607415733,"Taze"
"X522",0.521757999942191,"Taze"
"X538",0.521757999942191,"Taze"
"X566",1.60922081952171,"Taze"
"X799",1.52175797947531,"Taze"
"X818",1.22219770233953,"Taze"
"X824",1.98118959253073,"Taze"
"X659",0.329112927847476,"Taze"
"X891",0.843686086642799,"Taze"
"X899",0.981189607415733,"Taze"
"X918",1.69168297864352,"Taze"
"X471",0.651041008042648,"Taze"
"X478",1.5441257825347,"Taze"
"X498",1.65104098465192,"Taze"
"X731",1.5441257825347,"Taze"
"X736",1.5441257825347,"Taze"
"X740",1.3031176876109,"Taze"
"X532",1.3031176876109,"Taze"
"X535",0.651041008042648,"Taze"
"X539",0.843686080137363,"Taze"
"X768",1.01361107703148,"Taze"
"X567",1.16561416683797,"Taze"
"X793",1.01361107703148,"Taze"
"X817",1.01361107703148,"Taze"
"X832",1.65104098465192,"Taze"
"X846",1.01361107703148,"Taze"
"X872",1.16561416683797,"Taze"
"X682",1.01361107703148,"Taze"
"X685",1.3031176876109,"Taze"
"X711",1.42864855182334,"Taze"
"X578",1.84368604200579,"Taze"
"X595",1.58065164162983,"Taze"
"X625",1.42864855182334,"Taze"
"X698",1.25872355492922,"Taze"
"X474",2.16561409337703,"Taze"
"X493",1.84368600667642,"Taze"
"X739",2.84368598620953,"Taze"
"X549",2.01361100357053,"Taze"
"X590",2.42864849375299,"Taze"
"X599",2.30311761414996,"Taze"
"X626",2.42864849375299,"Taze"
"X870",1.84368600667642,"Taze"
"X909",1.84368600667642,"Taze"
"X693",1.84368600667642,"Taze"
"X472",3.01361085664866,"Taze"
"X501",3.01361085664866,"Taze"
"X526",3.16561394645515,"Taze"
"X563",2.84368585975454,"Taze"
"X564",3.16561394645515,"Taze"
"X814",2.65104078765983,"Taze"
"X637",3.16561394645515,"Taze"
"X638",2.84368585975454,"Taze"
"X645",3.30311746722808,"Taze"
"X648",2.65104078765983,"Taze"
"X653",3.01361085664866,"Taze"
"X691",2.84368585975454,"Taze"
"X725",25.2408247399445,"Taze"
"X842",25.7713394454478,"Taze"
"X634",24.8782546709557,"Taze"
"X642",25.878254647565,"Taze"
"X673",25.0708997430504,"Taze"
"X695",24.8782546709557,"Taze"
"X701",-0.227173773914951,"Vale"
"X868",0.679716803717481,"Vale"
"X705",0.550433787257898,"Vale"
"X730",0.287399387156702,"Vale"
"X782.1",0.665911002472989,"Vale"
"X804",0.424902907779766,"Vale"
"X898.1",0.965471279370997,"Vale"
"X710.1",-0.00478135659192948,"Vale"
"X763.1",0.35778871187355,"Vale"
"X788.1",0.509791801496868,"Vale"
"X816.1",1.35778869276489,"Vale"
"X902.1",1.71142564322554,"Vale"
"X704.1",2.03586058330558,"Vale"
"X741.1",1.03586059763707,"Vale"
"X799.1",1.53836092973596,"Vale"
"X818.1",0.620823107912555,"Vale"
"X824.1",1.91032970252458,"Vale"
"X828",1.03586059763707,"Vale"
"X891.1",1.35778868679184,"Vale"
"X899.1",0.450898111247403,"Vale"
"X912",1.45089808975017,"Vale"
"X918.1",0.910329718158936,"Vale"
"X731.1",1.67971676698701,"Vale"
"X736.1",1.67971676698701,"Vale"
"X740.1",1.35778867783224,"Vale"
"X744",1.23225779835411,"Vale"
"X762",1.23225779835411,"Vale"
"X768.1",0.580181119642247,"Vale"
"X793.1",0.942751188107726,"Vale"
"X817.1",1.09475427773104,"Vale"
"X832.1",1.77282616994534,"Vale"
"X846.1",1.35778867783224,"Vale"
"X859",0.942751188107726,"Vale"
"X872.1",1.86028900993113,"Vale"
"X711.1",1.64729527314597,"Vale"
"X724",1.18786366623443,"Vale"
"X775",1.99521856986584,"Vale"
"X811",1.18786366623443,"Vale"
"X850",1.18786366623443,"Vale"
"X858",1.99521856986584,"Vale"
"X896",1.18786366623443,"Vale"
"X739.1",2.86028893647019,"Vale"
"X789",1.77282611798163,"Vale"
"X854",1.77282611798163,"Vale"
"X855",1.77282611798163,"Vale"
"X865",1.5801810461813,"Vale"
"X870.1",1.77282611798163,"Vale"
"X873",1.77282611798163,"Vale"
"X909.1",1.5801810461813,"Vale"
"X713",2.9427509677249,"Vale"
"X715",2.9427509677249,"Vale"
"X735",2.58018089925943,"Vale"
"X746",2.77282597105975,"Vale"
"X757",2.9427509677249,"Vale"
"X787",2.9427509677249,"Vale"
"X814.1",2.9427509677249,"Vale"
"X847",3.09475405734822,"Vale"
"X853",2.58018089925943,"Vale"
"X856",2.77282597105975,"Vale"
"X857",2.58018089925943,"Vale"
"X869",2.77282597105975,"Vale"
"X913",2.9427509677249,"Vale"
"X718",24.8073947825553,"Vale"
"X725.1",25.1699648510208,"Vale"
"X742",26.0000398328584,"Vale"
"X842.1",26.2479673429077,"Vale"
